Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Anisha,2023-10-29 18:36:38,00:08:30,,Love Again,,Netflix Chrome MAC (Cadmium) HTML 5,01:37:54,01:37:54,IN (India)
Anisha,2023-10-29 17:54:29,00:04:34,,Love Again,,Netflix Chrome MAC (Cadmium) HTML 5,01:29:23,Not latest view,IN (India)
Anisha,2023-10-29 09:52:42,00:16:42,,Love Again,,Netflix Chrome MAC (Cadmium) HTML 5,01:24:48,Not latest view,IN (India)
Anisha,2023-10-29 06:16:56,01:08:27,,Love Again,,Netflix Chrome MAC (Cadmium) HTML 5,01:08:26,Not latest view,IN (India)
Anisha,2023-10-29 06:16:40,00:00:11,Autoplayed: user action: None; ,Teaser 4: Pain Hustlers,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,00:00:11,IN (India)
Anisha,2023-10-29 06:16:13,00:00:18,Autoplayed: user action: None; ,Season 7 Cliffhanger Clip: Big Mouth,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:18,00:00:18,IN (India)
Anisha,2023-10-28 18:30:03,00:17:12,,The Office (U.S.): Season 3: Gay Witch Hunt (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:30,00:21:30,IN (India)
Anisha,2023-10-28 18:02:55,00:27:06,,The Office (U.S.): Season 2: Casino Night (Episode 22),,Netflix Chrome MAC (Cadmium) HTML 5,00:27:57,00:27:57,IN (India)
Anisha,2023-10-28 16:50:26,00:00:24,,The Office (U.S.): Season 2: Casino Night (Episode 22),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:24,Not latest view,IN (India)
Anisha,2023-10-28 16:45:23,00:00:06,Autoplayed: user action: None; ,Plot Clip: Kandasamys: The Baby,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,IN (India)
Anisha,2023-10-28 16:29:20,00:15:59,,Kandasamys: The Baby,,Netflix Chrome MAC (Cadmium) HTML 5,01:29:10,01:29:10,IN (India)
Anisha,2023-10-27 07:27:24,01:12:37,,Kandasamys: The Baby,,Netflix Chrome MAC (Cadmium) HTML 5,01:12:37,Not latest view,IN (India)
Anisha,2023-10-27 07:25:53,00:00:11,Autoplayed: user action: None; ,Season 5 Genre Specific Moment Clip: Big Mouth,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,00:00:11,IN (India)
Anisha,2023-10-27 07:25:02,00:00:04,Autoplayed: user action: None; ,Season 1 Teaser: Luna Nera,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Anisha,2023-10-27 07:22:50,00:00:15,Autoplayed: user action: None; ,"Trailer: Kanan Gill: Yours Sincerely, Kanan Gill",TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:15,00:00:15,IN (India)
Anisha,2023-10-27 07:21:29,00:00:10,Autoplayed: user action: None; ,The Dictator_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:10,00:00:10,IN (India)
Anisha,2023-10-27 07:20:34,00:00:22,Autoplayed: user action: None; ,Season 5 Genre Specific Moment Clip: The Crown,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:22,00:00:22,IN (India)
Anisha,2023-10-27 07:19:25,00:00:13,Autoplayed: user action: None; ,Trailer: Pain Hustlers,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:24,00:00:24,IN (India)
Anisha,2023-10-27 07:19:13,00:00:12,Autoplayed: user action: None; ,Trailer: Pain Hustlers,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,Not latest view,IN (India)
Anisha,2023-10-26 12:09:47,00:20:13,,The Office (U.S.): Season 2: Conflict Resolution (Episode 21),,Apple iPhone 13 Pro,00:20:42,00:20:42,IN (India)
Anisha,2023-10-26 08:57:09,00:00:12,Autoplayed: user action: None; ,Plot Clip: Kandasamys: The Baby,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,Not latest view,IN (India)
Anisha,2023-10-26 08:36:50,00:20:17,,The Office (U.S.): Season 2: Drug Testing (Episode 20),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:43,00:20:43,IN (India)
Anisha,2023-10-26 08:17:26,00:18:37,,The Big Bang Theory: Season 8: The Focus Attenuation (Episode 5),,Apple iPhone 13 Pro,00:18:57,00:18:57,IN (India)
Anisha,2023-10-25 15:12:07,00:00:29,Autoplayed: user action: None; ,Plot Clip: Kandasamys: The Baby,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:29,Not latest view,IN (India)
Anisha,2023-10-25 08:46:56,00:09:09,,The Big Bang Theory: Season 8: The Hook-Up Reverberation (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:18:24,00:18:24,IN (India)
