Title,0
101 Dalmatians,2
13 Going on 30,1
3 Idiots,1
7 Khoon Maaf,1
Always Be My Maybe,3
Andhadhun,1
Annihilation,2
Arrival,1
Badhaai Do,2
Barbie of Swan Lake,1
Bareilly Ki Barfi,1
Behind the Curve,1
Bhool Bhulaiyaa 2,1
Black Holes | The Edge of All We Know,1
Bridesmaids,3
Bubble,1
Bulbbul,1
Chaman Bahaar,2
Charlie's Angels,2
Chasing Coral,2
Cinderella,2
Crazy Rich Asians,2
Dancing with the Birds,1
Darlings,1
Despicable Me,1
Dil Dhadakne Do,3
Don't Look Up,1
Drishyam,1
Easy A,5
Enter the Anime,1
Episode 1,2
Fantastic Mr. Fox,1
Gone Girl,3
Harry Potter and the Philosopher's Stone,1
Haseen Dillruba,1
Hellboy,1
Hereditary,1
His House,1
Howl’s Moving Castle,1
I'm Thinking of Ending Things,2
If Anything Happens I Love You,1
Jab We Met,3
John Wick,5
Kabhi Khushi Kabhie Gham,1
Khoobsurat,2
Kung Fu Panda,2
Last Christmas,1
Lilo & Stitch,1
Limitless,2
Little Women,8
Looper,1
Lust Stories,2
Lust Stories 2,2
Main Hoon Na,3
Man of Steel,2
Mard ko Dard Nahi Hota,4
Marie Antoinette,2
Marriage Story,1
Matilda,2
Megamind,2
Midsommar,2
Miss Americana,2
Miss Congeniality,4
Moana,1
Nanny McPhee,2
Nanny McPhee and the Big Bang,2
Not Another Teen Movie,1
Ocean's Eleven,1
Ocean's Thirteen,2
Om Shanti Om,3
Pan's Labyrinth,2
Pitch Perfect,1
Pixie,1
Predestination,2
Pride & Prejudice,7
Queen,2
Ratatouille,2
Reversing Roe,4
Scott Pilgrim vs. the World,3
Seaspiracy,1
Secrets of the Saqqara Tomb,1
Seeing Allred,3
Seven,5
She's the Man,4
Shrek,2
Shrek 2,1
Shrek Forever After,1
Shrek the Third,1
Someone Great,2
Spy Kids,1
Take Your Pills,4
Tamasha,4
Tarzan,2
Taylor Swift reputation Stadium Tour,6
Terra,1
The Adam Project,1
The Adventures of Tintin,1
The Age of Adaline,1
The American Meme,1
The Bleeding Edge,4
The Cabin in the Woods,1
The Dark Knight,2
The Dark Knight Rises,1
The Farewell,2
The Giver,1
The Great Hack,1
The Hangover,2
The House,1
The Jungle Book 2,1
The Karate Kid,2
The Lego Batman Movie,1
The Pursuit of Happyness,2
The Social Dilemma,2
The Spy Next Door,1
The Tinder Swindler,2
Three Identical Strangers,1
To All the Boys I’ve Loved Before,1
Tu Jhoothi Main Makkaar,1
Udaan,4
Whisper of the Heart,1
Words Bubble Up Like Soda Pop,4
Your Name,2
"Yours Sincerely, Kanan Gill",4
Zindagi Na Milegi Dobara,1
"tick, tick...BOOM!",2
