Show name,0
1000 Ways to Die,2
A Series of Unfortunate Events,70
Afflicted,3
Aggretsuko,86
Alias Grace,11
Alien Worlds,1
Altered Carbon,13
American Vandal,10
Arcane,15
Assassination Classroom,70
Atypical,25
Avatar,67
B,9
BEASTARS,1
BEEF,7
BLOCKBUSTER,15
Bake Squad,1
Ben 10,1
Big Mouth,63
Biohackers,4
Black Lagoon,66
Black Mirror,18
BoJack Horseman,32
Brand New Cherry Flavor,2
Bridgerton,28
Broken,5
Brooklyn Nine-Nine,643
COMEDIANS of the world,1
Castlevania,5
Cells at Work!,8
Code Geass,82
Comedy Premium League,1
Connected,1
Conspiracy,4
Cowboy Bebop,9
Crashing,8
Crazy Delicious,5
Crazy Ex-Girlfriend,127
Cunk On Earth,2
Curious and Unusual Deaths,7
Dark,2
Dark Net,7
David Attenborough's Natural Curiosities,2
Demon Slayer,44
Derry Girls,45
Devilman Crybaby,23
Dogs Behaving Very Badly,1
Don't Trust the B---- in Apartment 23,1
DreamWorks Kung Fu Panda Awesome Secrets,4
Easy,4
Ergo Proxy,2
Explained,17
Food Wars!,45
Forensic Files,5
Friends,25
Fullmetal Alchemist,45
Get Organized with The Home Edit,5
Girl from Nowhere,1
Girlboss,14
Glow Up,44
Hack My Home,2
History 101,4
House of Secrets,8
How I Met Your Mother,244
How to Sell Drugs Online (Fast),35
Human,1
Inside Bill's Brain,1
Is It Cake?,5
Jane The Virgin,142
JoJo's Bizarre Adventure,6
Kiss Me First,2
Kota Factory,15
Ladies Up,1
Leila,13
Little Things,39
"Love, Death & Robots",75
Lucifer,56
Maniac,46
Marcella,3
Marvel's Jessica Jones,14
Midnight Diner,10
Mob Psycho 100,23
Modern Family,238
My Hero Academia,89
Nailed It!,2
Nailed It! Germany,2
Naruto,199
Neon Genesis Evangelion,7
Never Have I Ever,49
New Girl,311
Next in Fashion,27
Old Enough!,6
One Day at a Time,140
One-Punch Man,22
Our Planet,3
Patriot Act with Hasan Minhaj,1
Peaky Blinders,17
Queen Charlotte,20
Queer Eye,25
Quicksand,11
Rick and Morty,131
River,28
Rock Lee,2
RuPaul's Drag Race,2
Russian Doll,32
STEINS;GATE,7
Sacred Games,11
Schitt's Creek,2
School of Chocolate,9
Scissor Seven,11
Sense8,6
Sex Education,20
"Sex, Explained",6
Sick Note,1
Spycraft,3
Squid Game,2
Sugar Rush,1
Sword Art Online,7
Tear Along the Dotted Line,20
That '70s Show,1
The Alienist,5
The Big Bang Theory,16
The Bletchley Circle,6
The Chair,7
The Disastrous Life of Saiki K.,129
The End of the F***ing World,8
The Good Place,134
The Ingenuity of the Househusband,13
The Legend of Korra,25
"The Mind, Explained",5
The Most Hated Man on the Internet,1
The Principles of Pleasure,1
The Queen's Gambit,1
The Real Bling Ring,3
The Seven Deadly Sins,2
The Silent Sea,1
The Umbrella Academy,49
The Way of the Househusband,8
The Witcher,19
The World's Most Extraordinary Homes,2
This World Can't Tear Me Down,3
Tidying Up with Marie Kondo,5
Tokyo Ghoul,7
Trinkets,10
Unnatural Selection,2
Very British Problems,2
Violet Evergarden,22
Web of Make Believe,2
Wormwood,9
Your lie in April,6
Zumbo's Just Desserts,3
